"","series","episode","baker","technical","result","signature_bake","show_stopper","last_name","baker_age","baker_occupation","hometown"
"517",5,10,"Richard",3,"Runner-up","Pear Pain au ChocolatPain Au Lait","Mill on the Hill","Burr",38,"Builder","Mill Hill, London"
"518",5,10,"Nancy",1,"WINNER","Apple and Lemon KitesRaspberry and Almond Croissants","Red Windmill","Birtwhistle",60,"Retired Practice Manager","Barton-upon-Humber, Lincolnshire"
"519",5,10,"Chetna",NA,NA,NA,NA,"Makan",35,"Fashion Designer","Broadstairs, Kent"
"520",5,10,"Claire",NA,NA,NA,NA,"Goodwin",31,"Speech Therapist","Ashton upon Mersey, Trafford"
"521",5,10,"Enwezor",NA,NA,NA,NA,"Nzegwu",39,"Business Consultant","Portsmouth, Hampshire"
"522",5,10,"Iain",NA,NA,NA,NA,"Watters",31,"Construction Engineer","London/Belfast"
"523",5,10,"Jordan",NA,NA,NA,NA,"Cox",32,"IT Manager","Sneinton, Nottingham"
"524",5,10,"Kate",NA,NA,NA,NA,"Henry",41,"Furniture Restorer","Brighton, East Sussex"
"525",5,10,"Martha",NA,NA,NA,NA,"Collison",17,"Student","Ascot, Berkshire"
"526",5,10,"Norman",NA,NA,NA,NA,"Calder",66,"Retired Naval Officer","Portknockie, Moray"
"527",6,1,"Alvin",2,"IN","Orange Vanilla and Fig Madeira Cake","Black Forest Gâteau","Magallanes",37,"Nurse","Bracknell, Berkshire"
"528",6,1,"Dorret",5,"IN","Madeira Cake with Candied Lemons","Enchanted Forest Gâteau","Conway",53,"Accountant","Penwortham, Lancashire"
"529",6,1,"Flora",6,"IN","Blood Orange Madeira Cake","Black Forest Gâteau","Shedden",19,"Art gallery assistant","Dunkeld, Perth and Kinross"
"530",6,1,"Ian",8,"IN","Somewhere West of Madeira Cake","Black Forest Cherry Tree","Cumming",41,"Travel photographer","Great Wilbraham, Cambridgeshire"
"531",6,1,"Mat",7,"IN","Gin and Tonic Madeira Cake","Black Forest Gateau","Riley",37,"Fire fighter","London"
"532",6,1,"Nadiya",12,"IN","Orange and Green Cardamom Madeira Cake","Quadruple Chocolate Black Forest Gâteau","Hussain",30,"Full-time mother","Leeds / Luton"
"533",6,1,"Paul",10,"IN","Lemon, Ginger and Caraway Seed Madeira Cake","Black Forest Chocolate Creation","Jagger",49,"Prison governor","Swansea, Wales"
"534",6,1,"Sandy",9,"IN","Madeira Cake with Almond Liqueur and Chopped Apricots","Black Forest Gâteau","Docherty",49,"Child welfare officer","Yeadon, West Yorkshire"
"535",6,1,"Tamal",4,"IN","Pistachio and Rose Madeira Cake","Black Forest Gâteau in a Chocolate Shell","Ray",29,"Trainee anaesthetist","Manchester"
"536",6,1,"Ugnė",1,"IN","Lemon and Thyme Madeira Cake","Falling Cup Gâteau","Bubnaityte",32,"PA and administrator","Woodford, London / Vilkaviškis, Lithuania"
"537",6,1,"Stu",11,"OUT","Marley Madeira Cake","Purple Forest Gâteau","Henshall",35,"Professional musician","Guildford, Surrey"
"538",6,1,"Marie",3,"STAR BAKER","Zingy Citrus Madeira Cake","A Walk in the Black Forest","Campbell",66,"Retired","Auchterarder, Perthshire"
"539",6,2,"Alvin",6,"IN","Jackfruit, Pistachio and Macadamia Biscotti","Gingerbread Box filled with Brandy Snaps","Magallanes",37,"Nurse","Bracknell, Berkshire"
"540",6,2,"Dorret",1,"IN","Almond and Apricot Biscotti with Amber Sugar Crystals","Box of Frogs","Conway",53,"Accountant","Penwortham, Lancashire"
"541",6,2,"Flora",2,"IN","Wedding Biscotti","Honey and Earl Grey Tea Box","Shedden",19,"Art gallery assistant","Dunkeld, Perth and Kinross"
"542",6,2,"Mat",5,"IN","Pistachio, Cranberry and White Chocolate Biscotti","Gingerbread Fire Engine","Riley",37,"Fire fighter","London"
"543",6,2,"Nadiya",9,"IN","Coconut, Fennel and Pistachio Biscotti","Box of Fortunes","Hussain",30,"Full-time mother","Leeds / Luton"
"544",6,2,"Paul",10,"IN","Chocolate, Hazelnut and Fig Biscotti","Memory Box","Jagger",49,"Prison governor","Swansea, Wales"
"545",6,2,"Sandy",4,"IN","Chocolate Chunk and Hazelnut Biscotti","Sundried Tomato Cheese Biscuit Box","Docherty",49,"Child welfare officer","Yeadon, West Yorkshire"
